Wikipedia data,,,MAG,,,,Status,,Note
pageid,name,born (year),author_id,author_name,pub count,citation count,MAG id,different name,
1403783,Bas van Fraassen,1941,702343683,Bas C. van Fraassen,171,6565,,diff,https://academic.microsoft.com/author/702343683/publication
3026718,Shree Vallabhacharya,1478,2036349267,Shree K. Nayar,398,32850,,,
32395350,Mihály András Vajda,1934,2124747245,Mihály Vajda,0,0,,diff,https://academic.microsoft.com/author/2124747245/publication/search?q=Mih%C3%A1ly%20Vajda&qe=Composite(AA.AuId%253D2124747245)&f=&orderBy=0
45660,Swami Vivekananda,1862,2396945839,Swami Vivekananda,28,146,,,
492442,Hans Vaihinger,1852,2184447344,Hans Vaihinger,12,27,,,
1106225,Peter Unger,1942,2482329281,Peter Unger,0,0,,,https://academic.microsoft.com/author/2482329281/publication/search?q=Peter%20Unger&qe=Composite(AA.AuId%253D2482329281)&f=&orderBy=0
173327,Miguel de Unamuno,1864,2602558251,Miguel de Unamuno,187,23,,,
1687521,Hermann Ulrici,1806,2420101214,Hermann Ulrici,0,0,,,https://academic.microsoft.com/author/2420101214/publication/search?q=Hermann%20Ulrici&qe=Composite(AA.AuId%253D2420101214)&f=&orderBy=0
293376,Uisang,624,no info,no info,0,0,,,
23404772,Udayana,899,no info,no info,0,0,,,
12102117,Michael Tye,1949,2234223050,Michael Tye,109,3349,,,
1022980,Kazimierz Twardowski,1866,2288447752,Kazimierz Twardowski,0,0,,,https://academic.microsoft.com/author/2288447752/publication/search?q=Kazimierz%20Twardowski&qe=Composite(AA.AuId%253D2288447752)&f=&orderBy=0
1208,Alan Turing,1912,2430569270,A. M. Turing,32,15197,,diff,https://academic.microsoft.com/author/2430569270/publication/search?q=A.%20M.%20Turing&qe=Composite(AA.AuId%253D2430569270)&f=&orderBy=0
53221307,Alyaksandr Ivanavich Tsvikyevich,1888,no info,no info,0,0,no,diff,
1323461,Tsongkhapa,1356,no info,no info,0,0,,,
26456397,Ehrenfried von Tschirnhaus,1651,4340207,Michael von Tschirnhaus,11,84,,,
1180251,Ernst Troeltsch,1865,2430917671,Ernst Troeltsch,40,951,,,
1284870,Friedrich Adolf Trendelenburg,1802,no info,no info,0,0,no,diff,
251223,John Toland,1670,2007022129,John Toland,91,2135,,,
343258,Tzvetan Todorov,1939,1814531701,Tzvetan Todorov,183,5774,,,
1219302,Timon of Phlius,-321,2170993780,Timon Schmelzer,887,5552,,,
414218,Paul Tillich,1886,640716275,Paul Tillich,258,3203,,,
30864,Thucydides,-461,2892386208,Thucydides,59,767,,,
43421,Henry David Thoreau,1817,1902041561,Henry David Thoreau,222,1705,,,
2157918,Judith Jarvis Thomson,1929,2135306831,Judith Jarvis Thomson,76,4317,,,
1647335,William Thompson,1775,no info,no info,0,0,no,diff,
43407,Thomas à Kempis,1379,no info,no info,0,0,,,
98409,Theophrastus,-372,no info,no info,0,0,,,
30072,Thales of Miletus,-624,249550540,Thales Papagiannakopoulos,34,1650,,,
1285757,Johannes Nikolaus Tetens,1736,265344783,Inge Tetens,314,5495,,,
31204,Tertullian,153,2234345637,ca.ca. Tertullian,21,31,,,
43583,Teresa of Ávila,1514,2100990686,César Ávila,154,4312,,,
42863207,Frederick Robert Tennant,1865,2796557666,F. R. Tennant,0,0,,diff,F. R. Tennant
1859910,Placide Tempels,1906,2404802782,Placide Tempels,0,0,,,https://academic.microsoft.com/author/2404802782/publication/search?q=Placide%20Tempels&qe=Composite(AA.AuId%253D2404802782)&f=&orderBy=0
23660,Pierre Teilhard de Chardin,1881,2577556690,Pierre Teilhard de Chardin,86,1556,,,
5795988,Gustav Teichmüller,1832,2918235177,Gustav Teichmüller,0,0,,,Gustav Teichmüller
3330654,Richard Taylor,1919,2120526659,Richard Taylor,226,2736,,,
965591,Harriet Taylor Mill,1807,2145123888,Harriet Hardy Taylor Mill,0,0,,diff,Harriet Hardy Taylor Mill
294996,Charles Taylor,1931,2103691184,Charles Taylor,553,42154,,,
1717775,Johannes Tauler,1299,1378927333,Romà Tauler,387,14293,,,
1447455,Władysław Tatarkiewicz,1886,3027727704,Władysław Tatarkiewicz,0,0,,,https://academic.microsoft.com/author/3027727704/publication/search?q=W%C5%82adys%C5%82aw%20Tatarkiewicz&qe=Composite(AA.AuId%253D3027727704)&f=&orderBy=0
59920,Alfred Tarski,1900,279907095,Alfred Tarski,125,12756,,,
8624261,Hajime Tanabe,1885,2256917641,Hajime Tanabe,19,66,,,
2102240,Tan Sitong,1865,no info,no info,0,0,no,diff,
45687981,Gáspár Miklós Tamás,1948,no info,no info,0,0,no,diff,
30690,Dai Zhen,1723,2869683746,Dai Zhen,38,38,,,
882048,Debendranath Tagore,1817,561471342,Rabindranath Tagore,233,578,,diff,
1425295,Muhammad Husayn Tabataba'i,1903,3126231170,Muhammad Husayn Tabatabai,0,0,,diff,https://academic.microsoft.com/author/3126231170/publication/search?q=Muhammad%20Husayn%20Tabatabai&qe=Composite(AA.AuId%253D3126231170)&f=&orderBy=0
633482,David Sztybel,1967,662231357,David Sztybel,0,0,,,David Sztybel
258693,Richard Swinburne,1934,2055197164,Richard Swinburne,198,1767,,,
224173,Emanuel Swedenborg,1687,250801477,Emanuel Swedenborg,134,81,,,
