Wikipedia data,,,MAG,,,,Status,,Note
pageid,name,born (year),author_id,author_name,pub count,citation count,MAG id,different name,
20532376,Caio Prado da Silva Júnior,1907,2724249551,Caio Prado Júnior,0,0,,diff,https://academic.microsoft.com/author/2724249551/publication/search?q=Caio%20Prado%20J%C3%BAnior&qe=Composite(AA.AuId%253D2724249551)&f=&orderBy=0&paperId=1499217863
765177,Roscoe Pound,1870,1764183021,Roscoe Pound,198,1453,,,
1551219,Nicos Poulantzas,1936,2136814033,Nicos Poulantzas,31,2645,,,
617670,Robert Joseph Pothier,1698,2126411799,Robert Joseph Pothier,24,17,,,
362382,Emil Leon Post,1897,2111007100,Emil L. Post,0,0,,diff,https://academic.microsoft.com/author/2111007100/publication/search?q=Emil%20L.%20Post&qe=Composite(AA.AuId%253D2111007100)&f=&orderBy=0
87868,Posidonius,-136,no info,no info,0,0,,,
794399,Porphyry of Tyre,232,no info,no info,0,0,,,
16623,Karl Popper,1902,2143220744,Karl R. Popper,268,37024,,diff,https://academic.microsoft.com/author/2143220744/publication/search?q=Karl%20R.%20Popper&qe=Composite(AA.AuId%253D2143220744)&f=&orderBy=0
2401339,Pietro Pomponazzi,1462,283024878,Pietro Pomponazzi,0,0,,,
19711,Michael Polanyi,1891,2046332678,Michael Polanyi,134,24348,,,
768987,Karl Polanyi,1886,44283526,Karl Polanyi,0,0,,,https://academic.microsoft.com/author/44283526/publication/search?q=Karl%20Polanyi&qe=Composite(AA.AuId%253D44283526)&f=&orderBy=0
48740,Henri Poincaré,1854,2210719719,Henri Poincaré,263,8084,,,
38422,Plotinus,202,2288326389,Plotinus,54,69,,,
155895,Gemistus Pletho,1354,no info,no info,0,0,,,
22954,Plato,-424,2425424954,Nils Plato,105,2463,,,
38802918,Georgi Plekhanov,1856,2422722488,Georgiĭ Valentinovich Plekhanov,0,0,,diff,https://academic.microsoft.com/author/2422722488/publication/search?q=Georgi%C4%AD%20Valentinovich%20Plekhanov&qe=Composite(AA.AuId%253D2422722488)&f=&orderBy=0&paperId=628129276
88839,Alvin Plantinga,1932,2022998773,Alvin Plantinga,151,3709,,,
19848,Max Karl Planck,1858,2484493116,Max Planck,141,4685,,diff,https://academic.microsoft.com/author/2484493116/publication/search?q=Max%20Planck&qe=Composite(AA.AuId%253D2484493116)&f=&orderBy=0
152575,Pico della Mirandola,1462,743255407,Giovanni Pico della Mirandola,52,388,,,
95274,Jean Piaget,1896,467622467,Jean Piaget,467,74313,,,
2673476,John Philoponus,489,no info,no info,0,0,,,
2625475,Philodemus,-111,no info,no info,0,0,,,
210191,Philo,-21,328716685,Chris Philo,159,3126,,,
230958,Petar II Petrović-Njegoš,1812,2297180911,Petar Ii Petrović Njegoš,0,0,,diff,https://academic.microsoft.com/author/2297180911/publication/search?q=Petar%20Ii%20Petrovi%C4%87%20Njego%C5%A1&qe=Composite(AA.AuId%253D2297180911)&f=&orderBy=0
34663951,Branislav Petronijević,1875,no info,no info,0,0,no,diff,
17573116,Ioane Petritsi,999,1971389761,Ioane Muni Toke,38,519,,,
605735,Johann Heinrich Pestalozzi,1745,131665347,Johann Heinrich Pestalozzi,121,137,,,
6117,Charles Sanders Peirce,1839,2122087006,Charles S. Peirce,309,7088,,diff,https://academic.microsoft.com/author/2122087006/publication/search?q=Benjamin%20Peirce&qe=Composite(AA.AuId%253D2331945468)&f=&orderBy=0
364270,Benjamin Peirce,1809,2331945468,Benjamin Peirce,19,140,,,
164695,Karl Pearson,1857,1952915195,Karl Pearson,408,13462,,,
13043,Giuseppe Peano,1858,no info,no info,0,0,no,diff,
1150025,Christopher Peacocke,1950,2313193659,Christopher Peacocke,117,3952,,,
52487,Ivan Pavlov,1849,2608728297,Ivan Pavlov,39,1104,,,
2364425,Paolo Nicoletti Veneto,1368,2612126776,Ferdinando Nicoletti,675,23140,,,
37342,Linus Pauling,1901,718104186,Linus Pauling,645,48366,,,
293371,Franciscus Patricius,1529,2010267384,Franciscus Sommen,241,3362,,,
940461,Jan Patočka,1907,2057651622,Jan Patočka,0,0,,,https://academic.microsoft.com/author/2057651622/publication/search?q=Jan%20Pato%C4%8Dka&qe=Composite(AA.AuId%253D2057651622)&f=&orderBy=0
22445317,Valentino Annibale Pastore,1868,no info,no info,0,0,no,diff,
9446340,John Passmore,1914,1983154482,John Passmore,0,0,,,https://academic.microsoft.com/author/1983154482/publication/search?q=John%20Passmore&qe=Composite(AA.AuId%253D1983154482)&f=&orderBy=0
4068,Blaise Pascal,1623,2611965851,Blaise Pascal,172,267,,,
23575,Parmenides,-516,252166878,Parmenides,23,62,,,
426996,Theodore Parker,1810,2130823107,Theodore Parker,0,0,,,https://academic.microsoft.com/author/2130823107/publication/search?q=Theodore%20Parker&qe=Composite(AA.AuId%253D2130823107)&f=&orderBy=0
59789,Derek Parfit,1942,2115176117,Derek Parfit,38,5540,,,
32680,Vilfredo Pareto,1848,410729749,Vilfredo Pareto,221,3767,,,
152487,Paracelsus,1492,2420184925,Paracelsus,13,5,,,
4773332,David Papineau,1946,1256816158,David Papineau,134,1717,,,
2058812,Wolfhart Pannenberg,1928,208465179,Wolfhart Pannenberg,122,586,,,
312856,Antonie Pannekoek,1872,2190306201,Anton Pannekoek,0,0,,diff,https://academic.microsoft.com/author/2190306201/publication/search?q=Anton%20Pannekoek&qe=Composite(AA.AuId%253D2190306201)&f=&orderBy=0
1588837,Panaetius,-181,no info,no info,0,0,,,
30795,Thomas Paine,1736,2170314904,Thomas Paine,197,649,,,
567475,Rudolf Otto,1869,2506182929,Rudolf Otto,33,1377,,,
34131,Wilhelm Ostwald,1852,2684773764,Wilhelm Ostwald,23,222,,,
668027,José Ortega y Gasset,1883,1483030189,José Ortega y Gasset,245,2684,,,
7575091,Hans Christian Ørsted,1777,no info,no info,0,0,no,diff,
22702,Origen,182,565147544,Origen,70,395,,,
593659,Nicole Oresme,1324,no info,no info,0,0,,,
1917730,Michel Onfray,1958,2557522762,Michel Onfray,20,56,,,
213397,Lorenz Oken,1779,2335817497,Lorenz Oken,0,0,,,https://academic.microsoft.com/author/2335817497/publication/search?q=Lorenz%20Oken&qe=Composite(AA.AuId%253D2335817497)&f=&orderBy=0
33617,William of Ockham,1284,2104509212,Of Ajayi,20,372,,,
389912,Michael Oakeshott,1901,1571399880,Michael Oakeshott,0,0,,,https://academic.microsoft.com/author/1571399880/publication/search?q=Michael%20Oakeshott&qe=Composite(AA.AuId%253D1571399880)&f=&orderBy=0
341297,Martha Nussbaum,1947,983098362,Martha Craven Nussbaum,636,34648,,diff,https://academic.microsoft.com/author/983098362/publication/search?q=Martha%20Craven%20Nussbaum&qe=Composite(AA.AuId%253D983098362)&f=&orderBy=0
26275,Robert Nozick,1938,279640673,Robert Nozick,29,7269,,,
1118424,Keiji Nishitani,1900,2726107728,Keiji Nishitani,0,0,,,https://academic.microsoft.com/author/2726107728/publication/search?q=Keiji%20Nishitani&qe=Composite(AA.AuId%253D2726107728)&f=&orderBy=0
1032989,Kitarō Nishida,1870,no info,no info,0,0,no,diff,
4419644,Nishi Amane,1829,no info,no info,0,0,no,diff,
10671,Friedrich Nietzsche,1844,2005356734,Friedrich Wilhelm Nietzsche,606,14344,,diff,https://academic.microsoft.com/author/2005356734/publication/search?q=Friedrich%20Wilhelm%20Nietzsche&qe=Composite(AA.AuId%253D2005356734)&f=&orderBy=0
204706,Reinhold Niebuhr,1892,1748500490,Reinhold Niebuhr,65,1747,,,
1598913,H. Richard Niebuhr,1894,2589407605,H. Richard Niebuhr,14,1372,,,
282522,Nicholas of Cusa,1400,2148485935,E Cusa,44,6,,,
22137,Nichiren,1221,no info,no info,0,0,,,
14627,Isaac Newton,1642,2136023645,"Newton, Isaac, Sir",30,1688,,,
50089,Otto Neurath,1882,1899122027,Otto Neurath,114,2285,,,
15942,John von Neumann,1903,2245631578,John von Neumann,122,36086,,,
338105,Leonard Nelson,1882,no info,no info,0,0,no,diff,
257241,Antonio Negri,1933,2547160179,Antonio Negri,163,919,,,
985037,Sergey Gennadiyevich Nechayev,1847,no info,no info,0,0,no,diff,
2370955,Paul Natorp,1853,1967369908,Paul Gerhard Natorp,38,85,,diff,https://academic.microsoft.com/author/1967369908/publication/search?q=Paul%20Gerhard%20Natorp&qe=Composite(AA.AuId%253D1967369908)&f=&orderBy=0
183442,Seyyed Hossein Nasr,1933,2157429407,Seyyed Hossein Nasr,119,1634,,,
510845,Jean-Luc Nancy,1940,2272519312,Jean-Luc Nancy,0,0,,,https://academic.microsoft.com/author/2272519312/publication/search?q=Jean-Luc%20Nancy&qe=Composite(AA.AuId%253D2272519312)&f=&orderBy=0
155380,Nachmanides,1193,no info,no info,0,0,,,
192793,Thomas Nagel,1937,2172737460,Thomas Nagel,77,10060,,,
1216778,Ernest Nagel,1901,2025908373,Ernest Nagel,147,96,,,
22149,Nāgārjuna,148,no info,no info,0,0,,,
21490890,Arne Næss,1912,2166088959,Arne Naess,0,0,,diff,https://academic.microsoft.com/author/2166088959/publication/search?q=Arne%20Naess&qe=Composite(AA.AuId%253D2166088959)&f=&orderBy=0
162058,Gaius Musonius Rufus,18,2158077261,Rufus Isaacs,246,6685,,,
60315,Iris Murdoch,1919,2114122271,Iris Murdoch,69,1736,,,
1425360,Ṣadr ad-Dīn Muḥammad Shīrāzī (Mulla Sadra),1570,no info,no info,0,0,,,
2916113,Emmanuel Mounier,1905,2098545007,Emmanuel Mounier,13,46,,,
292149,Motoori Norinaga,1730,318773200,Koyo Norinaga,141,2015,,,
3058250,Edgar Morin,1921,2067172738,Edgar Morin,253,5754,,,
461567,Lewis H. Morgan,1818,2430439819,Lewis H.Hg Morgan,0,0,,diff,https://academic.microsoft.com/author/2430439819/publication/search?q=Lewis%20H.Hg%20Morgan&qe=Composite(AA.AuId%253D2430439819)&f=&orderBy=0
11959,G. E. Moore,1873,2775851966,G E Moore,0,0,,diff,https://academic.microsoft.com/author/2775851966/publication/search?q=G%20E%20Moore&qe=Composite(AA.AuId%253D2775851966)&f=&orderBy=0
54956,Montesquieu,1688,2903584585,Montesquieu,79,0,,,
6224656,Edmund Montgomery,1835,2475694673,Edmund Montgomery,0,0,,,https://academic.microsoft.com/author/2475694673/publication/search?q=Edmund%20Montgomery&qe=Composite(AA.AuId%253D2475694673)&f=&orderBy=0
44307,Michel de Montaigne,1532,1554525304,Michel de Montaigne,74,842,,,
610182,Richard Montague,1930,2095836565,Richard Montague,46,3244,,,
981728,Lord Monboddo,1714,2106316740,Catherine Lord,348,55413,,,
2361022,Luis de Molina,1535,2153862700,Luis M. Molina,49,2776,,,
4010453,Jacob Moleschott,1822,2032132082,Jacob Moleschott,0,0,,,https://academic.microsoft.com/author/2032132082/publication/search?q=Jacob%20Moleschott&qe=Composite(AA.AuId%253D2032132082)&f=&orderBy=0
23275799,Miura Baien,1722,no info,no info,0,0,,,
2015850,Ruth Millikan,1932,1976914063,Ruth Garrett Millikan,81,3722,,diff,https://academic.microsoft.com/author/1976914063/publication/search?q=Ruth%20Garrett%20Millikan&qe=Composite(AA.AuId%253D1976914063)&f=&orderBy=0
174052,James Mill,1773,2150301619,James Mill,0,0,,,https://academic.microsoft.com/author/2150301619/publication/search?q=James%20Mill&qe=Composite(AA.AuId%253D2150301619)&f=&orderBy=0
3948372,Kiyoshi Miki,1896,2661351230,Kiyoshi Miki,12,1289,,,
5505525,Nikolay Mikhaylovsky,1842,561876461,Nikolay Konstantinovich Mikhaylovsky,0,0,,diff,https://academic.microsoft.com/author/561876461/publication/search?q=Nikolay%20Konstantinovich%20Mikhaylovsky&qe=Composite(AA.AuId%253D561876461)&f=&orderBy=0
189721,Conyers Middleton,1683,2255350992,Mark Conyers,115,1345,,,
3194780,Émile Meyerson,1859,2701367962,Emile Meyerson,0,0,,diff,https://academic.microsoft.com/author/2701367962/publication/search?q=Emile%20Meyerson&qe=Composite(AA.AuId%253D2701367962)&f=&orderBy=0
7244181,István Mészáros,1930,2170567612,István Mészáros,67,1183,,,
72947,Marin Mersenne,1588,2789517735,Marin Mersenne,11,87,,,
19373,Maurice Merleau-Ponty,1908,2061979059,Maurice Merleau-Ponty,185,19672,,,
44893,Moses Mendelssohn,1729,2104191111,Moses Mendelssohn,60,279,,,
12562,Gregor Mendel,1822,1982723844,Gregor Mendel,21,731,,,
197033,Mencius,-373,no info,no info,0,0,,,
1041802,Menasseh Ben Israel,1603,2701578227,Adi Ben-Israel,66,4871,,,
3006519,D. H. Mellor,1938,2501190756,D. H. Mellor,47,1324,,,
39209,Philip Melanchthon,1496,no info,no info,0,0,,,
404431,Alexius Meinong,1853,1991487467,A. Meinong,0,0,,diff,https://academic.microsoft.com/author/1991487467/publication/search?q=A.%20Meinong&qe=Composite(AA.AuId%253D1991487467)&f=&orderBy=0
1685577,Friedrich Meinecke,1862,2607210048,Friedrich Meinecke,88,379,,,
25353361,Georg Friedrich Meier,1718,no info,no info,0,0,,,
333826,George Herbert Mead,1863,2143132845,George H. Mead,76,19172,,diff,https://academic.microsoft.com/author/2143132845/publication/search?q=George%20H.%20Mead&qe=Composite(AA.AuId%253D2143132845)&f=&orderBy=0
30871418,J. M. E. McTaggart,1866,2588699735,John McTaggart Ellis McTaggart,90,1635,,diff,https://academic.microsoft.com/author/2588699735/publication/search?q=John%20McTaggart%20Ellis%20McTaggart&qe=Composite(AA.AuId%253D2588699735)&f=&orderBy=0
632230,Colin McGinn,1950,2628919716,Colin McGinn,58,1094,,,
415133,John Henry McDowell,1942,2156368788,John McDowell,124,7788,,diff,
1209907,William McDougall,1871,1939605539,William McDougall,100,2401,,,
9238,Ernst Mayr,1904,598105301,Ernst Mayr,461,32235,,,
28989696,James Clerk Maxwell,1831,2099069997,James Clerk Maxwell,141,11935,,,
1958305,Fritz Mauthner,1849,1940717784,Fritz Mauthner,13,111,,,
196221,Pierre Louis Maupertuis,1698,2251669073,Pierre-Louis Lions,285,41532,,,
7104,Cotton Mather,1662,2117060455,Cotton Mather,35,342,,,
1535933,Lady Damaris Masham,1658,2232703704,Damaris Rose,48,1096,,,
16743,Karl Marx,1818,2169855459,Karl Marx,1078,28265,,,
31512774,Anton Marty,1847,no info,no info,0,0,no,diff,
206995,James Martineau,1805,2117590580,James Martineau,0,0,,,https://academic.microsoft.com/author/2117590580/publication/search?q=James%20Martineau&qe=Composite(AA.AuId%253D2117590580)&f=&orderBy=0
287016,Marsilius of Inghen,1339,1996588840,Marsilius Mues,16,1100,,,
36010665,Odo Marquard,1928,2628307650,Odo Marquard,0,0,,,https://academic.microsoft.com/author/2628307650/publication/search?q=Odo%20Marquard&qe=Composite(AA.AuId%253D2628307650)&f=&orderBy=0
1381742,Svetozar Marković,1846,2249008851,Svetozar Marković,0,0,,,https://academic.microsoft.com/author/2249008851/publication/search?q=Svetozar%20Markovi%C4%87&qe=Composite(AA.AuId%253D2249008851)&f=&orderBy=0
4157000,Mihailo Marković,1923,2484785932,Mihailo Marković,0,0,,,https://academic.microsoft.com/author/2484785932/publication/search?q=Mihailo%20Markovi%C4%87&qe=Composite(AA.AuId%253D2484785932)&f=&orderBy=0
592243,Jacques Maritain,1882,32049061,Jacques Maritain,209,1684,,,
1513828,José del Carmen Eliseo Mariátegui De La Chira,1894,no info,no info,0,0,no,diff,
3535135,Joseph Maréchal,1914,2799022504,Joseph Maréchal,0,0,,,https://academic.microsoft.com/author/2799022504/publication/search?q=Joseph%20Mar%C3%A9chal&qe=Composite(AA.AuId%253D2799022504)&f=&orderBy=0
5234262,Julián Marías,1878,no info,no info,0,0,no,diff,
42035006,Herbert Marcuse,1898,2106500445,Herbert Marcuse,173,8788,,,
369743,Ruth Barcan Marcus,1921,2102953076,Ruth Barcan Marcus,0,0,,,https://academic.microsoft.com/author/2102953076/publication/search?q=Ruth%20Barcan%20Marcus&qe=Composite(AA.AuId%253D2102953076)&f=&orderBy=0
195259,Marcion of Sinope,83,2304899090,Guillaume Marcion,17,227,,,
568571,Gabriel Marcel,1889,2095669987,Gabriel Marcel,75,846,,,
174959,Karl Mannheim,1893,1979420144,Karl Mannheim,441,8110,,,
633495,Mani,214,2556886944,Mani Menon,959,20572,,,
564568,Bernard de Mandeville,1670,2125345503,Bernard Mandeville,37,1001,,,
31468,Thomas Robert Malthus,1765,2331027420,Thomas Robert Malthus,85,2068,,,
1891598,Ernst Mally,1879,2691827371,Ernst Mally,0,0,,,https://academic.microsoft.com/author/2691827371/publication/search?q=Ernst%20Mally&qe=Composite(AA.AuId%253D2691827371)&f=&orderBy=0
174019,Nicolas Malebranche,1638,664649636,Nicolas Malebranche,72,256,,,
685623,Norman Malcolm,1911,2069405479,Norman Malcolm,64,1411,,,
90700,Errico Malatesta,1853,2531214512,Errico Malatesta,0,0,,,https://academic.microsoft.com/author/2531214512/publication/search?q=Errico%20Malatesta&qe=Composite(AA.AuId%253D2531214512)&f=&orderBy=0
174287,Maine de Biran,1766,2287188810,Pierre Maine de Biran,18,29,,diff,https://academic.microsoft.com/author/2287188810/publication/search?q=Pierre%20Maine%20de%20Biran&qe=Composite(AA.AuId%253D2287188810)&f=&orderBy=0
19445,Maimonides,1134,38012605,Moses Maimonides,63,634,,,
2387380,Salomon Maimon,1752,2097841902,Salomon Maimon,16,54,,,
1082730,Madhvacharya,1237,no info,no info,0,0,,,
2793007,Madhava,1339,2026758113,Madhava Pai,78,1322,,,
240934,J. L. Mackie,1917,2632275769,J. L. Mackie,0,0,,,https://academic.microsoft.com/author/2632275769/publication/search?q=J.%20L.%20Mackie&qe=Composite(AA.AuId%253D2632275769)&f=&orderBy=0
595344,Alasdair MacIntyre,1929,2121187706,Alasdair MacIntyre,223,8730,,,
21444,Niccolò Machiavelli,1469,1977586522,Niccolò Machiavelli,101,937,,,
55285,Ernst Mach,1838,2087217453,Ernst Mach,126,2810,,,
241981,Jean-François Lyotard,1924,2021585254,Jean-François Lyotard,144,13434,,,
7697407,William G. Lycan,1945,143623386,William G. Lycan,160,2621,,,
7567080,Martin Luther,1483,2099334065,Martin Luther,374,847,,,
305064,Jan Łukasiewicz,1878,2631213809,Jan Łukasiewicz,0,0,,,https://academic.microsoft.com/author/2631213809/publication/search?q=Jan%20%C5%81ukasiewicz&qe=Composite(AA.AuId%253D2631213809)&f=&orderBy=0
43069535,György Lukács,1885,2619691089,György Lukács,103,4154,,,
37145,Titus Lucretius Carus,-100,2019092346,Titus Lucretius Carus,51,487,,,
311188,John Lucas,1929,no info,no info,0,0,no,diff,
3143889,Michael Löwy,1938,2618461246,Michael Löwy,526,679,,,
191379,Hermann Lotze,1817,2065500431,Hermann Lotze,0,0,,,https://academic.microsoft.com/author/2065500431/publication/search?q=Hermann%20Lotze&qe=Composite(AA.AuId%253D2065500431)&f=&orderBy=0
541950,Yuri Lotman,1922,2135824247,Juri Lotman,18,155,,diff,https://academic.microsoft.com/author/2135824247/publication/search?q=Juri%20Lotman&qe=Composite(AA.AuId%253D2135824247)&f=&orderBy=0
18822624,Domenico Losurdo,1941,2517613798,Domenico Losurdo,21,8,,,
5505410,Nikolay Lossky,1870,2527891491,N. O. Lossky,0,0,,diff,https://academic.microsoft.com/author/2527891491/publication/search?q=N.%20O.%20Lossky&qe=Composite(AA.AuId%253D2527891491)&f=&orderBy=0
2770860,Aleksei Losev,1893,no info,no info,0,0,no,diff,
2326847,Paul Lorenzen,1915,2151060362,Paul Lorenzen,22,148,,,
1079703,Bernard Lonergan,1904,2014312635,Bernard J. F. Lonergan,91,1368,,diff,https://academic.microsoft.com/author/2014312635/publication/search?q=Bernard%20J.%20F.%20Lonergan&qe=Composite(AA.AuId%253D2014312635)&f=&orderBy=0
600883,Peter Lombard,1095,2001534862,Carl Lombard,383,11588,,,
606547,Alfred Loisy,1857,791462556,Alfred Firmin Loisy,32,109,,diff,https://academic.microsoft.com/author/791462556/publication/search?q=Alfred%20Firmin%20Loisy&qe=Composite(AA.AuId%253D791462556)&f=&orderBy=0
69677,Ramon Llull,1231,465338079,Ramon Llull,46,1403,,,
3018720,Theodor Lipps,1851,2159202737,Theodor Lipps,0,0,,,https://academic.microsoft.com/author/2159202737/publication/search?q=Theodor%20Lipps&qe=Composite(AA.AuId%253D2159202737)&f=&orderBy=0
5233,Carl Linnaeus,1707,no info,no info,0,0,,,
476400,Georg Christoph Lichtenberg,1742,2919706229,Georg Christoph Lichtenberg,25,97,,,
1029571,Liang Qichao,1873,no info,no info,0,0,no,diff,
394272,David Lewis,1941,2550081936,David Lewis,0,0,,,https://academic.microsoft.com/author/2550081936/publication/search?q=David%20Lewis&qe=Composite(AA.AuId%253D2550081936)&f=&orderBy=0
433707,Clarence Irving Lewis,1883,2134911828,Clarence Lewis Barnhart,39,422,,diff,
1976138,Kurt Lewin,1890,1866249392,Kurt Lewin,127,26518,,,
1043793,Lucien Lévy-Bruhl,1857,504006066,Daniel Lévy-Bruhl,267,3631,,diff,
19544151,Claude Lévi-Strauss,1908,162318161,Claude Lévi-Strauss,356,12780,,,
90692,Emmanuel Levinas,1905,no info,no info,0,0,no,diff,
17924,Leucippus,-501,no info,no info,0,0,,,
422271,Stanisław Leśniewski,1886,2463178175,Stanisław Ulam,46,5845,,diff,
18393542,Jules Lequier,1813,2108998979,Laurance Lequier,25,348,,diff,
45077,Giacomo Leopardi,1798,2566285430,Giacomo Leopardi,76,71,,,
18079,Leonardo da Vinci,1451,1452987079,da Vinci Leonardo,266,711,,,
1056121,Yeshayahu Leibowitz,1903,1338535877,Yeshayahu Talmon,323,14147,,diff,
12281,Gottfried Wilhelm Leibniz,1646,2152704555,"Leibniz, Gottfried Wilhelm, Freiherr von",113,1774,,,
2254444,Keith Lehrer,1936,2568498581,Keith Lehrer,189,2663,,,
4880077,Antoine Le Grand,1628,2148083090,Julian Le Grand,296,8214,,,
2683733,Claude Lefort,1924,2464743484,Claude Lefort,37,2572,,,
828919,Henri Lefebvre,1901,2155738069,Henri Lefebvre,121,14381,,,
1935651,Pyotr Lavrovich Lavrov,1823,1909231798,Pyotr G. Platonov,253,3197,,diff,
1822,Antoine-Laurent de Lavoisier,1743,2614762794,Antoine Laurent Lavoisier,22,435,,,
7734142,Louis Lavelle,1883,1821929332,Louis Lavelle,40,67,,,
362828,Bruno Latour,1947,1273230838,Bruno Latour,376,59378,,,
197666,Ferdinand Lassalle,1825,654676278,Ferdinand Lassalle,20,9,,,
344783,Pierre-Simon Laplace,1749,1908731758,Pierre Simon Laplace,37,13,,,
65119,Laozi,-401,no info,no info,0,0,,,
23981046,Susanne Langer,1895,2072940845,Susanne K. Langer,54,2927,,diff,
293346,Friedrich Albert Lange,1828,2307845759,Friedrich Lange,59,280,,diff,
829899,Julien Offray de La Mettrie,1709,119780627,Julien Offray de La Mettrie,16,395,,,
93085,Johann Heinrich Lambert,1728,no info,no info,0,0,,,
145704,Jean-Baptiste Lamarck,1744,no info,no info,0,0,,,
38455,Imre Lakatos,1922,2066583684,Imre Lakatos,87,13617,,,
1152135,Philippe Lacoue-Labarthe,1940,605807541,Philippe Lacoue-Labarthe,65,896,,,
622304,Ernesto Laclau,1935,1532899363,Ernesto Laclau,67,10830,,,
16153,Jacques Lacan,1901,1914077692,Jacques Lacan,159,7678,,,
2545476,Antonio Labriola,1843,no info,no info,0,0,no,diff,
2955825,Oswald Külpe,1862,no info,no info,0,0,no,diff,
186577,Shūzō Kuki,1888,2026057979,Takao Kuki,27,392,,diff,
291747,Kūkai,773,no info,no info,0,0,,,
25778629,Thomas Kuhn,1922,2305280099,Thomas S. Kuhn,123,55778,,diff,
34572370,Felix Krueger,1874,2072768558,Felix Krueger,57,6588,,,
51074,Peter Kropotkin,1842,2005990069,Peter Kropotkin,17,27,,,
318450,Leopold Kronecker,1823,2759278806,Leopold Kronecker,22,42,,,
16489,Julia Kristeva,1941,85892861,Julia Kristeva,140,10344,,,
469965,U. G. Krishnamurti,1918,1932127856,Lakshmanan Krishnamurti,142,2504,,diff,
179095,Jiddu Krishnamurti,1895,643345341,Jiddu Krishnamurti,71,560,,,
48039,Saul Kripke,1940,659117755,Saul A. Kripke,39,10800,,diff,
11761785,Georg Kreisel,1923,2115832305,Georg Kreisel,47,1577,,,
602691,Karl Christian Friedrich Krause,1781,2140406842,Christian Krause,40,1598,,diff,
2170956,Alexandre Koyré,1892,2656437389,Alexandre Koyré,58,1083,,,
1022909,Tadeusz Kotarbiński,1886,no info,no info,0,0,no,diff,
9000925,Karel Kosík,1926,no info,no info,0,0,no,diff,
424398,Karl Korsch,1886,no info,no info,0,0,no,diff,
10492233,Alejandro Korn,1860,2789604777,Andreas Korn,1157,13474,,diff,
1041593,Leszek Kołakowski,1927,2649510177,Leszek Kołakowski,67,553,,,
767533,Alexandre Kojève,1902,no info,no info,0,0,no,diff,
286151,Wolfgang Köhler,1887,2683507179,Wolfgang Köhler,39,201,,,
61934856,Kurt Koffka,1886,2607966286,Kurt Koffka,11,63,,,
23720093,Martin Knutzen,1713,2025996677,Simon Knutzen,1406,21110,,,
2922049,Ludwig Klages,1872,2273709263,Ludwig Klages,24,222,,,
40081048,Patricia Kitcher,1947,662808556,Philip Kitcher,233,8211,,diff,
272065,Al-Kindi,800,2026206722,Sadeer G. Al-Kindi,190,571,,,
2445375,Jaegwon Kim,1934,2149492031,Jaegwon Kim,119,5926,,,
27069,Søren Kierkegaard,1813,2042306077,Søren Kierkegaard,291,4514,,,
3743860,Hermann Graf von Keyserling,1879,2506047077,"Keyserling, Hermann, Graf von",23,3,,diff,
37973,The Lord Keynes,1883,1830319489,John Maynard Keynes,706,31916,,diff,
15736,Johannes Kepler,1571,2508528283,Johannes Kepler,50,245,,,
302882,Sir Anthony Kenny,1931,2968113438,Anthony Kenny,149,3164,,diff,
1290247,Hans Kelsen,1881,87871570,Hans Kelsen,260,3861,,,
44379533,Karl Kautsky,1854,2408774128,Karl Johann Kautsky,107,152,,diff,
1141327,Walter Arnold Kaufmann,1921,2344393069,Walter Arnold,211,4314,,diff,
20700,Rabbi Dr.,1881,2305768979,C. Rabbi,33,250,,diff,
1479115,David Kaplan,1933,2123614274,David L. Kaplan,1716,112644,,diff,
14631,Immanuel Kant,1724,2345100099,Immanuel Kant,929,28545,,,
4231277,Milan Kangrga,1923,267005433,Ivan Kangrga,26,469,,diff,
904959,Kang Youwei,1858,no info,no info,0,0,no,diff,
10858,Franz Kafka,1883,1593468263,Franz Kafka,210,1274,,,
3163593,"Imam al-Haramayn Dhia' ul-Din al-Juwayni
امام الحرمین ضیاءُ الدین الجُوَینی",1027,1956202870,Mohamed Al-Imam,27,99,,,
42031,Carl Jung,1875,2123083284,Carl Gustav Jung,420,14141,,diff,
2635773,W. E. Johnson,1858,2907191556,W. Johnson,185,3761,,diff,
293196,Jinul,1157,no info,no info,0,0,,,
181164,Rudolf von Jhering,1818,2493049012,Rudolf von Jhering,24,128,,,
207021,William Stanley Jevons,1835,2751541398,William Stanley Jevons,35,2536,,,
4294354,Richard C. Jeffrey,1926,2169637428,Jeffrey C. Murray,711,35110,,diff,
758413,Sir James Hopwood Jeans,1877,no info,no info,0,0,no,diff,
332245,Karl Jaspers,1883,1444052882,Karl Jaspers,162,2591,,,
5302039,Vladimir Jankélévitch,1903,2918371295,Vladimir Jankélévitch,44,271,,,
356751,Fredric Jameson,1934,2304525599,Fredric Jameson,461,26860,,,
90682,William James,1841,2788086768,William James Fawcett,359,5724,,diff,
772769,Henry James Sr.,1811,2313523589,Henry James,360,3189,,diff,
204022,Friedrich Heinrich Jacobi,1742,2638115917,Friedrich Heinrich Jacobi,20,8,,,
1104605,Isaac Israeli ben Solomon,831,734870464,Isaac Ben-Bassat,157,3098,,,
16310046,T. H. Irwin,1947,2735933503,Scott H. Irwin,515,5217,,diff,
612650,Luce Irigaray,1930,1500255435,Luce Irigaray,101,6173,,,
34348533,,1877,no info,no info,0,0,no,diff,
